,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg
26,0.071384,0.061597,0.055821,-0.003545,0.098611,-0.027534,0.068327,-0.032609,0.460408,0.166522,0.268119,0.340337,0.733694,0.339323,-0.009798,0.697576,0.719531,0.312154,1.000202,0.040816,-0.017296,0.068079,-0.09659,0.091002,0.60639,0.10016,0.749726,0.585778,0.109401,0.776076,0.592329,,0.003285,0.087341,1.70839,1.7446,0.692975,0.683491,0.59438,0.52294
27,0.062399,0.056292,0.052529,-0.005008,0.097585,-0.018614,0.075682,-0.029911,0.444656,0.170995,0.271217,0.350487,0.719094,0.35288,-0.008369,0.723206,0.705454,0.274892,0.982691,0.038772,-0.014019,0.085672,-0.176899,0.091177,0.590475,0.119746,0.743175,0.578669,0.160059,0.770031,0.539139,,0.054433,0.087218,1.671899,1.615508,0.709709,0.723932,0.580068,0.513083
28,0.055689,0.066876,0.04727,0.000676,0.098136,-0.030712,0.068988,-0.027038,0.429023,0.152695,0.311165,0.378811,0.703278,0.38324,-0.008845,0.729177,0.704955,0.29146,0.962446,0.041783,-0.026095,0.080824,-0.230998,0.089134,0.575926,0.134712,0.744579,0.574802,0.208159,0.765279,0.492226,,0.066944,0.088309,1.396229,1.225343,0.698364,0.717407,0.577347,0.53707
29,0.056034,0.074363,0.050354,0.007798,0.094209,-0.038851,0.06517,-0.0264,0.419801,0.150339,0.37302,0.401557,0.689215,0.420699,-0.009072,0.752055,0.70018,0.316243,0.938253,0.040087,-0.021282,0.076622,-0.291916,0.087523,0.560168,0.126138,0.735436,0.57396,0.307312,0.759358,0.48791,,0.072561,0.08905,1.070396,1.051695,0.685813,0.701295,0.570663,0.559203
30,0.058378,0.060062,0.052491,0.004417,0.081027,-0.029736,0.062065,-0.020828,0.393397,0.164747,0.401569,0.42156,0.68417,0.442877,-0.005668,0.766529,0.686946,0.322928,0.912239,0.038265,-0.019865,0.082417,-0.323652,0.087056,0.536487,0.125093,0.725754,0.576001,0.353051,0.752565,0.476028,,0.163411,0.087341,0.743077,0.707612,0.704612,0.700262,0.557703,0.539008
31,0.061434,0.038382,0.058073,-0.001458,0.079427,-0.033945,0.061149,-0.027328,0.350788,0.159796,0.39515,0.426887,0.690968,0.448354,-0.003762,0.755053,0.680329,0.300896,0.879999,0.035428,-0.055709,0.079669,-0.36421,0.088387,0.527892,0.137149,0.725394,0.594786,0.417874,0.748109,0.479867,,0.117964,0.089338,0.932125,0.894111,0.687111,0.691476,0.536985,0.531318
32,0.062192,0.034073,0.058716,-0.008029,0.092783,-0.022126,0.062422,-0.040589,0.316472,0.155426,0.384643,0.426292,0.681089,0.47016,-0.006689,0.749524,0.678456,0.279756,0.852011,0.029358,-0.044784,0.078977,-0.339293,0.088177,0.518871,0.133352,0.718411,0.619605,0.439219,0.745585,0.495252,,0.104858,0.088041,0.865801,0.874088,0.719337,0.69446,0.520692,0.550137
33,0.073153,0.078484,0.058054,-0.008869,0.093909,-0.01644,0.055677,-0.041778,0.274531,0.135522,0.401941,0.427298,0.689343,0.481266,-0.001788,0.748074,0.673993,0.250477,0.833841,0.030658,-0.036281,0.080108,-0.409163,0.087313,0.504121,0.130061,0.718465,0.627663,0.455155,0.742001,0.499204,,0.219155,0.087815,0.869066,1.001655,0.685594,0.688763,0.518896,0.541384
34,0.088043,0.137167,0.052435,-0.003185,0.082353,-0.027227,0.069803,-0.05411,0.218077,0.164952,0.411457,0.429493,0.698855,0.472054,-0.002582,0.762204,0.668,0.242843,0.820581,0.03126,-0.028486,0.08214,-0.431624,0.087184,0.514686,0.128068,0.712328,0.648793,0.461843,0.73714,0.530928,,0.298559,0.08977,1.3961,1.623329,0.686033,0.684693,0.524302,0.533986
35,0.107667,0.201022,0.058413,-0.005295,0.059167,-0.015911,0.071559,-0.045928,0.164267,0.176696,0.424963,0.436259,0.70048,0.487893,0.002977,0.769478,0.663724,0.270203,0.810003,0.033209,-0.025357,0.08274,-0.414075,0.092251,0.52816,0.137813,0.708854,0.674292,0.472073,0.731469,0.589106,,0.38626,0.089399,1.787416,1.761508,0.694583,0.685067,0.555018,0.53507
